Year,Jun,Jul,Aug,mean
1960,71.8,74.3,77.0,74.36666666666666
1961,70.0,75.6,73.5,73.03333333333333
1962,72.5,74.7,74.6,73.93333333333332
1963,73.3,74.9,72.5,73.56666666666666
1964,75.1,76.3,74.4,75.26666666666667
1965,,,72.5,72.5
1966,,78.6,72.7,75.65
1967,,,70.0,70.0
1968,73.0,75.3,75.0,74.43333333333334
1969,70.2,76.0,70.3,72.16666666666667
1970,71.1,75.2,74.6,73.63333333333334
1971,75.2,73.4,71.8,73.46666666666668
1972,68.0,74.8,74.2,72.33333333333333
1973,73.7,76.7,74.9,75.10000000000001
1974,68.4,77.0,74.5,73.3
1975,72.4,75.6,77.2,75.06666666666666
1976,71.6,74.6,71.6,72.6
1977,69.3,78.2,74.0,73.83333333333333
1978,72.0,75.4,72.8,73.39999999999999
1979,72.1,73.0,72.7,72.60000000000001
1980,69.8,78.6,77.7,75.36666666666666
1981,73.0,75.8,73.2,74.0
1982,67.6,76.1,70.8,71.5
1983,72.4,80.0,79.9,77.43333333333334
1984,75.8,73.0,74.9,74.56666666666668
1985,69.9,75.3,73.0,72.73333333333333
1986,73.0,78.2,70.6,73.93333333333332
1987,74.0,76.7,74.8,75.16666666666667
1988,74.4,78.1,78.6,77.03333333333333
1989,71.3,75.3,73.3,73.3
1990,71.4,74.5,72.2,72.7
1991,76.3,77.7,75.3,76.43333333333334
1992,68.2,74.5,69.7,70.8
1993,70.6,78.8,76.0,75.13333333333333
1994,75.5,75.8,72.3,74.53333333333335
1995,72.4,77.0,79.5,76.3
1996,71.8,73.2,75.3,73.43333333333334
1997,69.4,74.7,,72.05000000000001
1998,72.6,74.3,75.5,74.13333333333333
1999,73.3,79.6,73.6,75.49999999999999
2000,71.4,72.5,72.8,72.23333333333333
2001,70.3,74.7,75.6,73.53333333333333
2002,74.6,77.9,77.0,76.5
2003,67.8,74.5,75.3,72.53333333333335
2004,71.4,73.3,70.5,71.73333333333333
2005,70.5,75.9,76.9,74.43333333333334
2006,70.3,76.2,75.7,74.06666666666666
2007,72.8,72.3,80.0,75.03333333333333
2008,73.2,74.0,72.3,73.16666666666667
2009,72.6,69.9,72.2,71.56666666666666
2010,75.5,77.5,77.5,76.83333333333333
2011,73.2,80.1,75.0,76.10000000000001
2012,71.8,82.1,73.6,75.83333333333333
2013,71.2,72.1,72.6,71.96666666666667
2014,73.3,70.0,73.2,72.16666666666667
2015,71.5,73.5,71.6,72.2
2016,74.2,74.8,76.6,75.2
2017,71.4,75.1,71.4,72.63333333333334
2018,75.0,75.6,75.3,75.3
2019,70.2,76.5,74.1,73.6
2020,72.7,77.3,72.7,74.23333333333333
2021,72.3,74.0,76.2,74.16666666666667
2022,72.4,76.2,73.6,74.06666666666668
2023,69.7,74.5,72.1,72.1
2024,72.7,74.1,,73.4
